[01:39:02] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:39:03] [ServerMain/INFO]: Loaded 7 recipes
[01:39:03] [ServerMain/INFO]: Loaded 1271 advancements
[01:39:04] [Server thread/INFO]: Starting minecraft server version 1.20.1
[01:39:04] [Server thread/INFO]: Loading properties
[01:39:04] [Server thread/INFO]: Default game type: SURVIVAL
[01:39:04] [Server thread/INFO]: Generating keypair
[01:39:04] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:39:04] [Server thread/INFO]: Using epoll channel type
[01:39:04] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[01:39:04] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[01:39:04] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[01:39:04] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[01:39:04] [Server thread/INFO]: Preparing level "world"
[01:39:09] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:39:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[01:39:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:39:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:39:12] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[01:39:13] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:39:13] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[01:39:14] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[01:39:14] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:39:15] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[01:39:15] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[01:39:16] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[01:39:16] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[01:39:17] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[01:39:17] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[01:39:18] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[01:39:18] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[01:39:19] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[01:39:19] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[01:39:20] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[01:39:20] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[01:39:21] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[01:39:21] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[01:39:22] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[01:39:22] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[01:39:23] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[01:39:23] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[01:39:24] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[01:39:24] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[01:39:25] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[01:39:25] [Worker-Main-3/INFO]: Preparing spawn area: 50%
[01:39:26] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[01:39:26] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[01:39:27] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[01:39:27] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[01:39:28] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[01:39:28] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[01:39:29] [Worker-Main-3/INFO]: Preparing spawn area: 71%
[01:39:29] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[01:39:30] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[01:39:30] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[01:39:31] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:39:31] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[01:39:32] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[01:39:32] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[01:39:33] [Server thread/INFO]: Time elapsed: 23452 ms
[01:39:33] [Server thread/INFO]: Done (28.625s)! For help, type "help"
